trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.7, 'e': 0.5349999999999996}",25,10,-25.38796026859531,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.7, 'e': 0.5299999999999996}",20,15,-1.5928606853458511,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.5249999999999996}",20,0,-40.66357458708668,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
96,False,"{'a': 0.7, 'e': 0.5199999999999996}",25,15,-32.507998242014175,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.5149999999999996}",25,13,-7.244241514880485,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.5099999999999996}",25,0,-18.019945688537284,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.7, 'e': 0.5049999999999996}",20,10,-34.90158417074975,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.7, 'e': 0.49999999999999956}",25,0,-29.738003679126766,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.7, 'e': 0.49499999999999955}",20,0,2.024207220364616,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.7, 'e': 0.48999999999999955}",20,0,-0.20333577829518523,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.7, 'e': 0.48499999999999954}",30,4,-60.45158037527953,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 1}",1
104,False,"{'a': 0.7, 'e': 0.47999999999999954}",20,0,-71.7249042060848,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
105,False,"{'a': 0.7, 'e': 0.47499999999999953}",25,11,12.140676890403372,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.46999999999999953}",20,0,-22.41810660465919,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
107,False,"{'a': 0.7, 'e': 0.4649999999999995}",20,13,-0.6984217287777712,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.4599999999999995}",25,17,-2.0288766643237404,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.4549999999999995}",20,16,6.621523457114815,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
